Term,Description
ARECA,"A plant genus of the family ARECACEAE. Members contain ARECOLINE and CATECHIN. The leaves and nuts have been used as masticatories, stimulants, and astringents in traditional medicine. The common name of betel is also used for PIPER BETLE. The common name of catechu is sometimes used for ACACIA CATECHU.
    "
ARECOLINE,"An alkaloid obtained from the betel nut (Areca catechu), fruit of a palm tree. It is an agonist at both muscarinic and nicotinic acetylcholine receptors. It is used in the form of various salts as a ganglionic stimulant, a parasympathomimetic, and a vermifuge, especially in veterinary practice. It has been used as a euphoriant in the Pacific Islands.
    "
ARENAVIRIDAE,"A family of RNA viruses naturally infecting rodents and consisting of one genus (ARENAVIRUS) with two groups: Old World Arenaviruses (ARENAVIRUSES, OLD WORLD) and New World Arenaviruses (ARENAVIRUSES, NEW WORLD). Infection in rodents is persistent and silent. Vertical transmission is through milk-, saliva-, or urine-borne routes. Horizontal transmission to humans, monkeys, and other animals is important.
    "
ARGENTINA,"Country located in southern South America, bordering the South Atlantic Ocean, between Chile and Uruguay.
    "
ARGINASE,"A ureahydrolase that catalyzes the hydrolysis of arginine or canavanine to yield L-ornithine (ORNITHINE) and urea. Deficiency of this enzyme causes HYPERARGININEMIA. EC 3.5.3.1.
    "
ARGININE,"An essential amino acid that is physiologically active in the L-form.
    "
ARGON,"A noble gas with the atomic symbol Ar, atomic number 18, and atomic weight 39.948. It is used in fluorescent tubes and wherever an inert atmosphere is desired and nitrogen cannot be used.
    "
ARGYRIA,"A permanent ashen-gray discoloration of the skin, conjunctiva, and internal organs resulting from long-continued use of silver salts. (Dorland, 27th ed)
    "
ARIZONA,"State of the UNITED STATES OF AMERICA bounded on the east by New Mexico, on the north by Utah, on the west by Nevada and California, and on the south by Mexico.
    "
ARKANSAS,"State of the UNITED STATES OF AMERICA bounded on the north by Missouri, on the east by Tennessee and Mississippi, on the south by Louisiana, and on the west by Oklahoma and Texas.
    "
ARM,"The superior part of the upper extremity between the SHOULDER and the ELBOW.
    "
ARMADILLOS,"Burrowing, chiefly nocturnal mammals of the family Dasypodidae having bodies and heads encased in small bony plates. They are widely distributed in the warmer parts of the Americas.
    "
ARMENIA,"An ancient country in western Asia, by the twentieth century divided among the former USSR, Turkey, and Iran. It was attacked at various times from before the 7th century B.C. to 69 B.C. by Assyrians, Medes, Persians, the Greeks under Alexander, and the Romans. It changed hands frequently in wars between Neo-Persian and Roman Empires from the 3d to 7th centuries and later under Arabs, Seljuks, Byzantines, and Mongols. In the 19th century Armenian nationalism arose but suffered during Russo-Turkish hostilities. It became part of the Soviet Republic in 1921, with part remaining under Turkey. (Webster's New Geographical Dictionary, 1988)
    "
ARMIN,"A reversible organophosphorus cholinesterase inhibitor. It also affects the presynaptic membrane and inhibits membrane postsynaptic cholinergic receptors. The compound had former use as a miotic.
    "
AROCLORS,"Industrial chemicals which have become widespread environmental pollutants. Each aroclor is a mixture of chlorinated biphenyls (1200 series) or chlorinated terphenyls (5400 series) or a combination of both (4400 series).
    "
AROMATASE,"An enzyme that catalyzes the desaturation (aromatization) of the ring A of C19 androgens and converts them to C18 estrogens. In this process, the 19-methyl is removed. This enzyme is membrane-bound, located in the endoplasmic reticulum of estrogen-producing cells of ovaries, placenta, testes, adipose, and brain tissues. Aromatase is encoded by the CYP19 gene, and functions in complex with NADPH-FERRIHEMOPROTEIN REDUCTASE in the cytochrome P-450 system.
    "
AROUSAL,"Cortical vigilance or readiness of tone, presumed to be in response to sensory stimulation via the reticular activating system.
    "
ARSENAMIDE,"Proposed chemotherapeutic agent against filaria and trichomonas.
    "
ARSENATES,"Inorganic or organic salts and esters of arsenic acid.
    "
ARSENIC,"A shiny gray element with atomic symbol As, atomic number 33, and atomic weight 75. It occurs throughout the universe, mostly in the form of metallic arsenides. Most forms are toxic. According to the Fourth Annual Report on Carcinogens (NTP 85-002, 1985), arsenic and certain arsenic compounds have been listed as known carcinogens. (From Merck Index, 11th ed)
    "
ARSENICALS,"Inorganic or organic compounds that contain arsenic.
    "
ARSPHENAMINE,"An organoarsenic compound that was commonly used for treating SYPHILIS and other diseases.
    "
ART,"Processes and results of aesthetic expression.
    "
ARTEMIA,"A genus of CRUSTACEA of the order ANOSTRACA, found in briny pools and lakes and often cultured for fish food. It has 168 chromosomes and differs from most crustaceans in that its blood contains hemoglobin.
    "
ARTERIES,"The vessels carrying blood away from the heart.
    "
ARTERIOLES,"The smallest divisions of the arteries located between the muscular arteries and the capillaries.
    "
ARTERIOSCLEROSIS,"Thickening and loss of elasticity of the walls of ARTERIES of all sizes. There are many forms classified by the types of lesions and arteries involved, such as ATHEROSCLEROSIS with fatty lesions in the ARTERIAL INTIMA of medium and large muscular arteries.
    "
ARTERITIS,"INFLAMMATION of any ARTERIES.
    "
ARTHRITIS,"Acute or chronic inflammation of JOINTS.
    "
ARTHROBACTER,"A genus of asporogenous bacteria isolated from soil that displays a distinctive rod-coccus growth cycle.
    "
ARTHRODESIS,"The surgical fixation of a joint by a procedure designed to accomplish fusion of the joint surfaces by promoting the proliferation of bone cells. (Dorland, 28th ed)
    "
ARTHROGRAPHY,"Roentgenography of a joint, usually after injection of either positive or negative contrast medium.
    "
ARTHROGRYPOSIS,"Persistent flexure or contracture of a joint.
    "
ARTHROPLASTY,"Surgical reconstruction of a joint to relieve pain or restore motion.
    "
ARTHROPODS,"Members of the phylum Arthropoda, composed of organisms having a hard, jointed exoskeleton and paired jointed legs. It includes the class INSECTS and the subclass ARACHNIDA, many species of which are important medically as parasites or as vectors of organisms capable of causing disease in man.
    "
ARTHROSCOPY,"Endoscopic examination, therapy and surgery of the joint.
    "
ARTIODACTYLA,"An order of mammals which consists of the even-toed ungulates and includes both RUMINANTS and SWINE.
    "
ARYLSULFONATES,"Organic sulfonic acid esters or salts which contain an aromatic hydrocarbon radical.
    "
ARYLSULFATASES,"Enzymes that catalyze the hydrolysis of a phenol sulfate to yield a phenol and sulfate. Arylsulfatase A, B, and C have been separated. A deficiency of arylsulfatases is one of the causes of metachromatic leukodystrophy (LEUKODYSTROPHY, METACHROMATIC). EC 3.1.6.1.
    "
ASBESTOS,"Asbestos. Fibrous incombustible mineral composed of magnesium and calcium silicates with or without other elements. It is relatively inert chemically and used in thermal insulation and fireproofing. Inhalation of dust causes asbestosis and later lung and gastrointestinal neoplasms.
    "
ASBESTOSIS,"A form of pneumoconiosis caused by inhalation of asbestos fibers which elicit potent inflammatory responses in the parenchyma of the lung. The disease is characterized by interstitial fibrosis of the lung, varying from scattered sites to extensive scarring of the alveolar interstitium.
    "
ASCARIASIS,"Infection by nematodes of the genus ASCARIS. Ingestion of infective eggs causes diarrhea and pneumonitis. Its distribution is more prevalent in areas of poor sanitation and where human feces are used for fertilizer.
    "
ASCARIDIA,"A genus of nematode worms in the superfamily Heterakoidea. A. galli and A. lineata are important intestinal parasites of domestic fowl.
    "
ASCARIDIASIS,"Infection with nematodes of the genus ASCARIDIA. This condition usually occurs in fowl, often manifesting diarrhea.
    "
ASCARIDOIDEA,"A superfamily of polymyarian nematode worms. An important characteristic of this group is the presence of three prominent lips around the mouth of the organism.
    "
ASCARIS,"A genus of nematodes of the superfamily ASCARIDOIDEA whose species usually inhabit the intestine.
    "
ASCITES,"Accumulation or retention of free fluid within the peritoneal cavity.
    "
ASCOMYCOTA,"A phylum of fungi which have cross-walls or septa in the mycelium. The perfect state is characterized by the formation of a saclike cell (ascus) containing ascospores. Most pathogenic fungi with a known perfect state belong to this phylum.
    "
ASEPSIS,"The prevention of access by infecting organisms to the locus of potential infection.
    "
ASIA,"The largest of the continents. It was known to the Romans more specifically as what we know today as Asia Minor. The name comes from at least two possible sources: from the Assyrian asu (to rise) or from the Sanskrit usa (dawn), both with reference to its being the land of the rising sun, i.e., eastern as opposed to Europe, to the west. (From Webster's New Geographical Dictionary, 1988, p82 & Room, Brewer's Dictionary of Names, 1992, p34)
    "
ASIALOGLYCOPROTEINS,"Endogenous glycoproteins from which SIALIC ACID has been removed by the action of sialidases. They bind tightly to the ASIALOGLYCOPROTEIN RECEPTOR which is located on hepatocyte plasma membranes. After internalization by adsorptive ENDOCYTOSIS they are delivered to LYSOSOMES for degradation. Therefore receptor-mediated clearance of asialoglycoproteins is an important aspect of the turnover of plasma glycoproteins. They are elevated in serum of patients with HEPATIC CIRRHOSIS or HEPATITIS.
    "
ASIAN,"A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam (https://www.federalregister.gov/documents/1997/10/30/97-28653/revisions-to-the-standards-for-the-classification-of-federal-data-on-race-and-ethnicity). In the United States it is used for classification of federal government data on race and ethnicity. Race and ethnicity terms are self-identified social construct and may include terms outdated and offensive in MeSH to assist users who are interested in retrieving comprehensive search results for studies such as in longitudinal studies.
    "
ASPARAGINASE,"A hydrolase enzyme that converts L-asparagine and water to L-aspartate and NH3. EC 3.5.1.1.
    "
